ObjectType	ObjectName	ParentName	ExtraInfo	DateCaptured
Table	tbl_200_Ojt			15-Dec-25
Column	AFSC2	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	AFSC3	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	CAFSC	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	CDC Info	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	CDC Info2	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	CDC Info3	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	CDC Info4	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	CDC Info5	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	DAFSC	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	DAS	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	DET	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	DIERT	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	DOS	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	Dy Phone	tbl_200_Ojt	Type=5, Size=0	15-Dec-25
Column	ECI Stat Dt	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	ECI Stat Dt2	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	ECI Stat Dt3	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	ECI Stat Dt4	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	ECI Stat Dt5	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	ECI Status	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	ECI Status2	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	ECI Status3	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	ECI Status4	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	ECI Status5	tbl_200_Ojt	Type=202, Size=255	15-Dec-25
Column	End Dt	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	End Dt2	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
Column	End Dt3	tbl_200_Ojt	Type=7, Size=0	15-Dec-25
